MATNR,MAKTX,CLASS,CRITICALITY,UNIT_COST
,Missing number,COMPONENT,MAJOR,1.00
MAT-BAD-COST-1,Bad cost negative,COMPONENT,MAJOR,-3
MAT-BAD-COST-2,Bad cost text,COMPONENT,MAJOR,free
MAT-BAD-COST-3,Bad cost empty,COMPONENT,MAJOR,
MAT-BAD-CLASS-1,Bad class,WIDGET,MAJOR,2
MAT-BAD-CLASS-2,Bad class typo,COMP,MAJOR,2
MAT-HELIX-01,Helix weak pump head,COMPONENT,MAJOR,14.50
MAT-MS-01,PCA pump drive module,SUBASSEMBLY,CRITICAL,8
MAT-MS-02,"Flow sensor cartridge, 0.5–120 mL/h",SUBASSEMBLY,MAJOR,10.5
MAT-MS-03,Pressure transducer housing,SUBASSEMBLY,MAJOR,13
MAT-MS-04,Anti-free-flow valve assembly,SUBASSEMBLY,MAJOR,15.5
MAT-MS-05,"Li-ion battery pack, 11.1V 6.6Ah",SUBASSEMBLY,MAJOR,18
MAT-MS-06,Front panel UI board,SUBASSEMBLY,MAJOR,20.5
MAT-MS-07,Sterile fluid path manifold,SUBASSEMBLY,MAJOR,23
MAT-MS-08,"Silicone tubing assembly, 6mm ID",SUBASSEMBLY,MAJOR,25.5
MAT-2000,Pool component 0,DIRECT_MATERIAL,CRITICAL,1.15
MAT-2001,Pool component 1,COMPONENT,MAJOR,2.3
MAT-2002,Pool component 2,COMPONENT,MAJOR,3.4499999999999997
MAT-2003,Pool component 3,COMPONENT,MAJOR,4.6
MAT-2004,Pool component 4,COMPONENT,MAJOR,5.75
MAT-2005,Pool component 5,DIRECT_MATERIAL,MAJOR,6.8999999999999995
MAT-2006,Pool component 6,COMPONENT,MAJOR,8.049999999999999
MAT-2007,Pool component 7,COMPONENT,MAJOR,9.2
MAT-2008,Pool component 8,COMPONENT,MAJOR,10.35
MAT-2009,Pool component 9,COMPONENT,MAJOR,11.5
MAT-2010,Pool component 10,DIRECT_MATERIAL,MAJOR,12.649999999999999
MAT-2011,Pool component 11,COMPONENT,CRITICAL,13.799999999999999
MAT-2012,Pool component 12,COMPONENT,MAJOR,14.95
MAT-2013,Pool component 13,COMPONENT,MAJOR,16.099999999999998
MAT-2014,Pool component 14,COMPONENT,MAJOR,17.25
MAT-2015,Pool component 15,DIRECT_MATERIAL,MAJOR,18.4
MAT-2016,Pool component 16,COMPONENT,MAJOR,19.549999999999997
MAT-2017,Pool component 17,COMPONENT,MAJOR,20.7
MAT-2018,Pool component 18,COMPONENT,MAJOR,21.849999999999998
MAT-2019,Pool component 19,COMPONENT,MAJOR,23
MAT-2020,Pool component 20,DIRECT_MATERIAL,MAJOR,24.15
MAT-2021,Pool component 21,COMPONENT,MAJOR,25.299999999999997
MAT-2022,Pool component 22,COMPONENT,CRITICAL,26.45
MAT-2023,Pool component 23,COMPONENT,MAJOR,27.599999999999998
MAT-2024,Pool component 24,COMPONENT,MAJOR,28.749999999999996
MAT-2025,Pool component 25,DIRECT_MATERIAL,MAJOR,29.9
MAT-2026,Pool component 26,COMPONENT,MAJOR,31.049999999999997
MAT-2027,Pool component 27,COMPONENT,MAJOR,32.199999999999996
MAT-2028,Pool component 28,COMPONENT,MAJOR,33.349999999999994
MAT-2029,Pool component 29,COMPONENT,MAJOR,34.5
MAT-2030,Pool component 30,DIRECT_MATERIAL,MAJOR,35.65
MAT-2031,Pool component 31,COMPONENT,MAJOR,36.8
MAT-2032,Pool component 32,COMPONENT,MAJOR,37.949999999999996
MAT-2033,Pool component 33,COMPONENT,CRITICAL,39.099999999999994
MAT-2034,Pool component 34,COMPONENT,MAJOR,40.25
MAT-2035,Pool component 35,DIRECT_MATERIAL,MAJOR,41.4
MAT-2036,Pool component 36,COMPONENT,MAJOR,42.55
MAT-2037,Pool component 37,COMPONENT,MAJOR,43.699999999999996
MAT-2038,Pool component 38,COMPONENT,MAJOR,44.849999999999994
MAT-2039,Pool component 39,COMPONENT,MAJOR,46
MAT-2040,Pool component 40,DIRECT_MATERIAL,MAJOR,47.15
MAT-2041,Pool component 41,COMPONENT,MAJOR,48.3
MAT-2042,Pool component 42,COMPONENT,MAJOR,49.449999999999996
MAT-2043,Pool component 43,COMPONENT,MAJOR,50.599999999999994
MAT-2044,Pool component 44,COMPONENT,CRITICAL,51.74999999999999
MAT-2045,Pool component 45,DIRECT_MATERIAL,MAJOR,52.9
MAT-2046,Pool component 46,COMPONENT,MAJOR,54.05
MAT-2047,Pool component 47,COMPONENT,MAJOR,55.199999999999996
MAT-2048,Pool component 48,COMPONENT,MAJOR,56.349999999999994
MAT-2049,Pool component 49,COMPONENT,MAJOR,57.49999999999999
MAT-2050,Pool component 50,DIRECT_MATERIAL,MAJOR,58.65
MAT-2051,Pool component 51,COMPONENT,MAJOR,59.8
MAT-2052,Pool component 52,COMPONENT,MAJOR,60.949999999999996
MAT-2053,Pool component 53,COMPONENT,MAJOR,62.099999999999994
MAT-2054,Pool component 54,COMPONENT,MAJOR,63.24999999999999
MAT-2055,Pool component 55,DIRECT_MATERIAL,CRITICAL,64.39999999999999
MAT-2056,Pool component 56,COMPONENT,MAJOR,65.55
MAT-2057,Pool component 57,COMPONENT,MAJOR,66.69999999999999
MAT-2058,Pool component 58,COMPONENT,MAJOR,67.85
MAT-2059,Pool component 59,COMPONENT,MAJOR,69
MAT-2060,Pool component 60,DIRECT_MATERIAL,MAJOR,70.14999999999999
MAT-2061,Pool component 61,COMPONENT,MAJOR,71.3
MAT-2062,Pool component 62,COMPONENT,MAJOR,72.44999999999999
MAT-2063,Pool component 63,COMPONENT,MAJOR,73.6
MAT-2064,Pool component 64,COMPONENT,MAJOR,74.75
MAT-2065,Pool component 65,DIRECT_MATERIAL,MAJOR,75.89999999999999
MAT-2066,Pool component 66,COMPONENT,CRITICAL,77.05
MAT-2067,Pool component 67,COMPONENT,MAJOR,78.19999999999999
MAT-2068,Pool component 68,COMPONENT,MAJOR,79.35
MAT-2069,Pool component 69,COMPONENT,MAJOR,80.5
MAT-2070,Pool component 70,DIRECT_MATERIAL,MAJOR,81.64999999999999
MAT-2071,Pool component 71,COMPONENT,MAJOR,82.8
MAT-2072,Pool component 72,COMPONENT,MAJOR,83.94999999999999
MAT-2073,Pool component 73,COMPONENT,MAJOR,85.1
MAT-2074,Pool component 74,COMPONENT,MAJOR,86.25
MAT-2075,Pool component 75,DIRECT_MATERIAL,MAJOR,87.39999999999999
MAT-2076,Pool component 76,COMPONENT,MAJOR,88.55
MAT-2077,Pool component 77,COMPONENT,CRITICAL,89.69999999999999
MAT-2078,Pool component 78,COMPONENT,MAJOR,90.85
MAT-2079,Pool component 79,COMPONENT,MAJOR,92
